,area_type,availability,location,society,total_sqft,bath,balcony,price,bedroom
0,Super built-up  Area,19-Dec,Electronic City Phase II,Coomee ,1056.0,2.0,1.0,39.07,2
1,Plot  Area,Ready To Move,Chikka Tirupathi,Theanmp,2600.0,5.0,3.0,120.0,4
3,Super built-up  Area,Ready To Move,Lingadheeranahalli,Soiewre,1521.0,3.0,1.0,95.0,3
5,Super built-up  Area,Ready To Move,Whitefield,DuenaTa,1170.0,2.0,1.0,38.0,2
11,Plot  Area,Ready To Move,Whitefield,Prrry M,2785.0,5.0,3.0,295.0,4
12,Super built-up  Area,Ready To Move,7th Phase JP Nagar,Shncyes,1000.0,2.0,1.0,38.0,2
14,Plot  Area,Ready To Move,Sarjapur,Skityer,2250.0,3.0,2.0,148.0,3
15,Super built-up  Area,Ready To Move,Mysore Road,PrntaEn,1175.0,2.0,2.0,73.5,2
16,Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1180.0,3.0,2.0,48.0,3
17,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1540.0,3.0,3.0,60.0,3
18,Super built-up  Area,Ready To Move,other,PeBayle,2770.0,4.0,2.0,290.0,3
21,Super built-up  Area,19-Dec,Binny Pete,She 2rk,1755.0,3.0,1.0,122.0,3
22,Plot  Area,Ready To Move,Thanisandra,Soitya ,2800.0,5.0,2.0,380.0,4
24,Super built-up  Area,18-Nov,Thanisandra,Bhe 2ko,510.0,1.0,0.0,25.25,1
26,Super built-up  Area,Ready To Move,Electronic City,Itelaa ,660.0,1.0,1.0,23.1,2
28,Super built-up  Area,17-Oct,Ramagondanahalli,ViistLa,1151.0,2.0,2.0,48.77,2
29,Super built-up  Area,Ready To Move,Electronic City,KBityo ,1025.0,2.0,1.0,47.0,3
30,Super built-up  Area,19-Dec,Yelahanka,LedorSa,2475.0,4.0,0.0,186.0,4
31,Super built-up  Area,Ready To Move,Bisuvanahalli,Prityel,1075.0,2.0,1.0,35.0,3
32,Super built-up  Area,Ready To Move,Hebbal,Mahosya,1760.0,2.0,2.0,123.0,3
33,Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,GrrvaGr,1693.0,3.0,3.0,57.39,3
35,Super built-up  Area,21-Dec,Kanakpura Road,PrarePa,700.0,2.0,1.0,36.0,2
37,Super built-up  Area,Ready To Move,Kundalahalli,Dieldli,1724.0,3.0,2.0,125.0,3
41,Super built-up  Area,19-Dec,Sarjapur  Road,Soini T,1254.0,3.0,2.0,38.0,3
42,Super built-up  Area,Ready To Move,other,Ceove G,600.0,1.0,0.0,38.0,1
44,Super built-up  Area,19-Sep,Kanakpura Road,Soazak ,1330.74,2.0,2.0,91.79,2
